id,work_group_id,ballot_cycle,level,result,result_date,recon_path,created_at,updated_at
1,24,2004-Jan,committee,pass,,,2015-08-26,2015-08-26
2,24,2004-Jan,member,pass,,,2015-08-26,2015-08-26
3,24,2004-May,committee,pass,,,2015-08-26,2015-08-26
4,24,2004-May,member,pass,,,2015-08-26,2015-08-26
5,24,2004-Sep,committee,pass,,,2015-08-26,2015-08-26
6,24,2005-Jan,committee,pass,,,2015-08-26,2015-08-26
7,24,2005-Jan,dstu,pass,,,2015-08-26,2015-08-26
8,24,2005-Jan,member,pass,,,2015-08-26,2015-08-26
9,24,2005-May,committee,pass,,,2015-08-26,2015-08-26
10,24,2005-Sep,committee,pass,,,2015-08-26,2015-08-26
11,24,2005-Sep,dstu,pass,,,2015-08-26,2015-08-26
12,24,2005-Sep,member,pass,,,2015-08-26,2015-08-26
13,24,2006-Jan,committee,pass,,,2015-08-26,2015-08-26
14,24,2006-Jan,dstu,pass,,,2015-08-26,2015-08-26
15,24,2006-May,committee,pass,,,2015-08-26,2015-08-26
16,24,2006-Sep,committee,pass,,,2015-08-26,2015-08-26
17,24,2006-Sep,member,pass,,,2015-08-26,2015-08-26
18,24,2007-Jan,committee,pass,,,2015-08-26,2015-08-26
19,24,2007-Jan,inform,pass,,,2015-08-26,2015-08-26
20,24,2007-Jan,member,pass,,,2015-08-26,2015-08-26
21,24,2007-May,committee,pass,,,2015-08-26,2015-08-26
22,24,2007-May,member,pass,,,2015-08-26,2015-08-26
23,24,2007-Sep,committee,pass,,,2015-08-26,2015-08-26
24,24,2007-Sep,member,pass,,,2015-08-26,2015-08-26
25,24,2008-Jan,committee,pass,,,2015-08-26,2015-08-26
26,24,2008-May,committee,pass,,,2015-08-26,2015-08-26
27,24,2008-May,member,pass,,,2015-08-26,2015-08-26
28,24,2008-Sep,committee,pass,,,2015-08-26,2015-08-26
29,24,2008-Sep,member,pass,,,2015-08-26,2015-08-26
30,24,2009-Jan,committee,pass,,,2015-08-26,2015-08-26
31,24,2009-Jan,member,pass,,,2015-08-26,2015-08-26
32,24,2009-Jan,normative,pass,,,2015-08-26,2015-08-26
33,24,2009-May,normative,pass,,,2015-08-26,2015-08-26
34,24,2009-Sep,member,pass,,,2015-08-26,2015-08-26
35,24,2012-Sep,reaffirm,pass,,,2015-08-26,2015-08-26